tau,model,metric,mean,std,median,min,max,count
0.8,DecisionTree,time_fit,0.43978736718495687,2.6647415801321515,0.010121464729309082,0.0014612674713134766,24.844963550567627,600
0.8,LightGBM,coverage,0.056286201561100445,0.055698773833324534,0.03943833943833941,0.0,0.32272727272727275,600
0.8,LightGBM,losses,0.036403177243620896,0.02211262316044089,0.030340124167347306,0.00409052966372448,0.1409523809523809,600
0.8,LightGBM,time_all,0.568039538860321,1.0838818614396746,0.2239779233932495,0.030677318572998047,7.836691856384277,600
0.8,LightGBM,time_fit,0.11388362844785055,0.22864626997766277,0.04685413837432861,0.003682851791381836,1.6454699039459229,600
0.8,LinearQuantile,complexity,19.891666666666666,20.60025602112221,11.0,2.0,124.0,600
0.8,LinearQuantile,coverage,0.21842395755741792,0.15795953493845394,0.28,0.0,0.8,600
0.8,LinearQuantile,losses,0.05642620606389987,0.038815391152753426,0.052770566120853374,1.7306729816828022e-13,0.3683019190597994,600
0.8,LinearQuantile,time_all,28.327440659602484,143.6429615601482,0.7006449699401855,0.0274808406829834,1635.4349102973938,600
0.8,LinearQuantile,time_fit,2.476702405611674,13.07088718537764,0.05657756328582764,0.0019249916076660156,148.2681188583374,600
0.8,SQR,complexity,9.735,4.3535077868408,10.0,2.0,21.0,600
0.8,SQR,coverage,0.06730247070198413,0.07586027627505856,0.043951219512195105,0.0,0.5,600
0.8,SQR,losses,0.02720721311383439,0.06303072840010239,0.018481992913486598,0.0,1.4915427393181822,600
0.8,SQR,time_all,165.80461695273718,167.06566499141562,92.08173882961273,60.24276614189148,659.1137292385101,600
0.8,SQR,time_fit,165.80461695273718,167.06566499141562,92.08173882961273,60.24276614189148,659.1137292385101,600
0.9,DecisionTree,complexity,938.87,4390.664831115973,33.0,1.0,38659.0,600
0.9,DecisionTree,coverage,0.06395994136396782,0.057168334099664125,0.050000000000000044,0.0,0.4,600
0.9,DecisionTree,losses,0.01962189974937519,0.009453264893779206,0.019100887240398656,0.0005825161405842853,0.0788095238095238,600
0.9,DecisionTree,time_all,7.804576502243678,46.91150981537461,0.08915567398071289,0.025585412979125977,412.09000182151794,600
0.9,DecisionTree,time_fit,0.4221174466609955,2.6034107433632583,0.008402466773986816,0.0014057159423828125,24.949873447418213,600
0.9,LightGBM,coverage,0.038268630575023055,0.0372848019144172,0.02791996628570348,0.0,0.24090909090909096,600
0.9,LightGBM,losses,0.024369434137561603,0.012036389147247152,0.021580645675387315,0.006424048036117435,0.09138532107364723,600
0.9,LightGBM,time_all,0.5328735832373301,1.073291123158003,0.2071162462234497,0.03116130828857422,7.636779308319092,600
0.9,LightGBM,time_fit,0.10182682792345683,0.22238521344376672,0.0419389009475708,0.0037355422973632812,1.6810383796691895,600
0.9,LinearQuantile,complexity,19.891666666666666,20.60025602112221,11.0,2.0,124.0,600
0.9,LinearQuantile,coverage,0.2727187300658863,0.21091921020649076,0.38,0.0,0.9,600
0.9,LinearQuantile,losses,0.0520246225140802,0.043581467073442744,0.0481855151211476,3.283860095002843e-14,0.4143396671611299,600
0.9,LinearQuantile,time_all,46.197629137039186,326.5007028514927,0.728614330291748,0.028421878814697266,5435.152262926102,600
0.9,LinearQuantile,time_fit,4.217848521073659,32.31932363091988,0.05753922462463379,0.002019166946411133,605.4943733215332,600
0.9,SQR,complexity,9.678333333333333,4.208846382165786,10.0,2.0,21.0,600
0.9,SQR,coverage,0.05989308593411497,0.0752474455497785,0.03749999999999998,0.0,0.5,600
0.9,SQR,losses,inf,,0.01281996282790406,0.0,inf,600
0.9,SQR,time_all,166.14197996576627,168.74983837797708,92.2196135520935,61.72963309288025,723.2584712505341,600
0.9,SQR,time_fit,166.14197996576627,168.74983837797708,92.2196135520935,61.72963309288025,723.2584712505341,600
